0,0,10,2015-10-06
1,0,10,2015-10-06
2,0,10,2015-10-06
3,0,9,2015-10-06
4,0,10,2015-10-06
5,0,9,2015-10-06
6,0,8,2015-10-06
7,0,9,2015-10-06
8,0,10,2015-10-06
9,0,6,2015-10-06
10,0,10,2015-10-06
11,0,9,2015-10-06
12,0,10,2015-10-06
13,0,10,2015-10-06
14,0,10,2015-10-06
15,0,7,2015-10-06
16,0,10,2015-10-06
17,0,10,2015-10-06
18,0,10,2015-10-06
19,0,8,2015-10-06
20,0,10,2015-10-06
21,0,10,2015-10-06
22,0,10,2015-10-06
23,0,10,2015-10-06
24,0,10,2015-10-06
25,0,10,2015-10-06
26,0,10,2015-10-06
27,0,10,2015-10-06
28,0,10,2015-10-06
29,0,10,2015-10-06
30,0,10,2015-10-06
31,0,10,2015-10-06
32,0,10,2015-10-06
33,0,10,2015-10-06
34,0,10,2015-10-06
35,0,10,2015-10-06
36,0,10,2015-10-06
37,0,10,2015-10-06
38,0,10,2015-10-06
39,0,10,2015-10-06
40,0,10,2015-10-06
41,0,10,2015-10-06
42,0,10,2015-10-06
43,0,7,2015-10-06
44,0,9,2015-10-06
45,0,10,2015-10-06
46,0,10,2015-10-06
47,0,10,2015-10-06
48,0,9,2015-10-06
49,0,10,2015-10-06
50,0,8,2015-10-06
51,0,8,2015-10-06
52,0,9,2015-10-06
53,0,10,2015-10-06
54,0,9,2015-10-06
55,0,10,2015-10-06
56,0,10,2015-10-06
57,0,10,2015-10-06
58,0,10,2015-10-06
59,0,10,2015-10-06
60,0,10,2015-10-06
61,0,9,2015-10-06
62,0,10,2015-10-06
63,0,10,2015-10-06
64,0,10,2015-10-06
65,1,10,2015-10-06
66,1,10,2015-10-06
67,1,10,2015-10-06
68,1,10,2015-10-06
69,1,10,2015-10-06
70,1,10,2015-10-06
71,1,10,2015-10-06
72,1,10,2015-10-06
73,1,10,2015-10-06
74,1,10,2015-10-06
75,1,10,2015-10-06
76,1,10,2015-10-06
77,1,10,2015-10-06
78,1,10,2015-10-06
79,1,10,2015-10-06
1,1,10,2015-10-06
80,1,10,2015-10-06
81,1,10,2015-10-06
82,1,10,2015-10-06
83,1,10,2015-10-06
84,1,10,2015-10-06
85,1,9,2015-10-06
86,1,7,2015-10-06
87,1,7,2015-10-06
88,1,10,2015-10-06
89,1,8,2015-10-06
90,1,10,2015-10-06
91,1,8,2015-10-06
92,1,10,2015-10-06
7,1,9,2015-10-06
93,1,10,2015-10-06
94,1,10,2015-10-06
95,1,8,2015-10-06
96,1,9,2015-10-06
97,1,10,2015-10-06
19,1,10,2015-10-06
98,1,9,2015-10-06
99,1,10,2015-10-06
100,1,8,2015-10-06
101,1,8,2015-10-06
102,1,10,2015-10-06
103,1,10,2015-10-06
104,1,10,2015-10-06
105,1,10,2015-10-06
106,1,10,2015-10-06
107,1,10,2015-10-06
108,1,9,2015-10-06
109,1,10,2015-10-06
110,1,10,2015-10-06
39,1,10,2015-10-06
111,1,10,2015-10-06
112,1,10,2015-10-06
113,1,10,2015-10-06
27,1,10,2015-10-06
114,1,8,2015-10-06
115,1,10,2015-10-06
116,1,10,2015-10-06
54,1,9,2015-10-06
117,1,10,2015-10-06
118,1,10,2015-10-06
119,1,10,2015-10-06
120,1,10,2015-10-06
121,1,8,2015-10-06
122,1,10,2015-10-06
123,1,7,2015-10-06
124,1,10,2015-10-06
125,1,10,2015-10-06
126,1,10,2015-10-06
127,1,10,2015-10-06
128,1,10,2015-10-06
129,1,10,2015-10-06
130,1,10,2015-10-06
131,1,10,2015-10-06
