index,userID,itemID,rating,timestamp
1,42,31,9,01-09-14
2,42,111,8,01-09-14
3,42,260,9,01-09-14
4,42,296,9,01-09-14
5,42,355,2,01-09-14
6,42,541,8,01-09-14
7,42,593,10,01-09-14
8,42,745,10,01-09-14
9,42,903,8,01-09-14
10,42,904,8,01-09-14
11,42,908,7,01-09-14
12,42,910,4,01-09-14
13,42,913,8,01-09-14
14,42,1059,7,01-09-14
15,42,1061,6,01-09-14
16,42,1088,6,01-09-14
17,42,1092,8,01-09-14
18,42,1148,10,01-09-14
19,42,1193,8,01-09-14
20,42,1196,9,01-09-14
21,42,1198,9,01-09-14
22,42,1201,8,01-09-14
23,42,1203,7,01-09-14
24,42,1207,8,01-09-14
25,42,1234,10,01-09-14
26,42,1250,6,01-09-14
27,42,1256,6,01-09-14
28,42,1262,7,01-09-14
29,42,1267,8,01-09-14
30,42,1271,8,01-09-14
31,42,1372,10,01-09-14
32,42,1569,10,01-09-14
33,42,1918,7,01-09-14
34,42,1945,7,01-09-14
35,42,2019,8,01-09-14
36,42,2278,9,01-09-14
37,42,2407,7,01-09-14
38,42,2571,8,01-09-14
39,42,2858,9,01-09-14
40,42,3255,8,01-09-14
41,42,3256,9,01-09-14
42,42,3468,9,01-09-14
43,42,3717,8,01-09-14
44,42,3755,9,01-09-14
45,42,3911,8,01-09-14
46,42,4226,9,01-09-14
47,42,4993,9,01-09-14
48,42,5952,9,01-09-14
49,42,7153,9,01-09-14
50,42,7361,9,01-09-14
51,42,58559,9,01-09-14
52,49,50,10,01-05-13
53,49,163,7,01-05-13
54,49,216,6,01-05-13
55,49,296,10,01-05-13
56,49,333,6,01-05-13
57,49,475,9,01-05-13
58,49,527,7,01-05-13
59,49,593,8,01-05-13
60,49,610,8,01-05-13
61,49,785,7,01-05-13
62,49,849,5,01-05-13
63,49,1093,6,01-05-13
64,49,1129,6,01-05-13
65,49,1198,8,01-05-13
66,49,1203,8,01-05-13
67,49,1213,8,01-05-13
68,49,1339,6,01-05-13
69,49,1358,8,01-05-13
70,49,2019,9,01-05-13
71,49,2302,6,01-05-13
72,49,2541,7,01-05-13
73,49,2571,8,01-05-13
74,49,2858,7,01-05-13
75,49,2985,8,01-05-13
76,49,4226,8,01-05-13
77,49,4310,7,01-05-13
78,49,5618,8,01-05-13
79,49,7502,10,01-05-13
80,49,58559,8,01-05-13
81,49,79132,9,01-05-13
82,59,1,9,01-09-13
83,59,50,8,01-09-13
84,59,318,9,01-09-13
85,59,333,4,01-09-13
86,59,342,9,01-09-13
87,59,355,2,01-09-13
88,59,356,8,01-09-13
89,59,471,7,01-09-13
90,59,585,2,01-09-13
91,59,858,9,01-09-13
92,59,1094,6,01-09-13
93,59,1172,9,01-09-13
94,59,1230,8,01-09-13
